Name,OVR,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Preferred foot,Height,Weight,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Isco,82,68,65,79,74,72,76,66,74,84,78,76,84,80,85,84,79,84,78,85,81,61,55,58,62,51,63,67,55,57,Mediocampista,4,Right,176,79,0,0,0,0.0,0.0
Lucas Paquetá,82,71,73,80,78,77,77,74,75,83,74,74,82,78,77,87,75,76,81,86,88,71,68,67,72,63,78,82,77,78,Mediocampista,4,Left,180,72,0,0,0,0.0,0.0
Nacho Fernández,82,69,77,37,32,54,28,38,45,53,70,37,82,67,55,64,65,76,81,79,75,82,79,82,83,81,84,79,79,80,Defensor,4,Right,180,76,0,0,0,0.0,0.0
Gabriel Jesus,82,86,81,85,80,83,78,79,75,79,73,54,81,66,75,88,92,90,88,87,78,32,77,45,30,28,88,81,72,82,Delantero,3,Right,175,73,0,0,0,0.0,0.0
Jorginho,82,54,39,69,65,71,61,68,89,83,75,76,88,87,75,79,67,72,82,86,84,79,56,71,78,70,63,79,66,77,Mediocampista,3,Right,178,68,0,0,0,0.0,0.0
Fabinho,82,51,64,70,63,81,70,47,90,76,75,53,84,82,71,78,61,62,78,81,85,81,72,80,81,80,75,85,80,83,Mediocampista,2,Right,188,78,0,0,0,0.0,0.0
Savinho,82,90,87,78,76,69,67,63,62,79,80,55,81,70,78,87,90,76,77,83,74,25,45,26,30,36,62,73,45,45,Delantero,2,Left,176,71,0,0,0,0.0,0.0
Darwin Núñez,82,88,92,86,79,86,77,78,78,78,69,61,74,68,75,79,74,66,82,79,76,44,80,39,47,36,94,88,85,84,Delantero,3,Right,187,81,0,0,0,0.0,0.0
Anderson Talisca,82,83,76,84,85,87,85,76,75,77,75,85,77,79,87,83,86,58,82,86,77,52,79,45,55,42,81,74,75,73,Mediocampista,4,Left,191,75,0,0,0,0.0,0.0
Dayot Upamecano,82,76,85,47,39,64,42,33,39,58,48,28,77,76,36,72,66,65,81,75,74,79,81,79,84,82,85,77,87,88,Defensor,3,Right,186,90,0,0,0,0.0,0.0
Álex Berenguer,81,86,84,82,77,76,72,70,72,76,76,75,76,70,76,83,87,88,79,81,83,65,58,65,65,61,73,80,59,76,Mediocampista,4,Right,175,73,0,0,0,0.0,0.0
Alexandr Golovin,81,76,77,80,75,78,84,72,60,81,78,81,81,76,82,83,86,77,81,83,80,71,46,45,72,66,63,86,56,76,Mediocampista,4,Right,178,69,0,0,0,0.0,0.0
Marc Guéhi,81,69,75,35,42,49,26,32,38,59,49,32,80,76,54,70,69,65,82,76,76,81,79,82,83,82,84,73,78,77,Defensor,5,Right,182,82,0,0,0,0.0,0.0
Iñigo Martínez,81,70,72,52,42,81,74,37,39,55,53,71,74,80,72,48,66,60,80,73,70,80,80,81,81,82,86,69,82,85,Defensor,3,Left,182,76,0,0,0,0.0,0.0
Isi Palazón,81,87,82,78,79,75,81,65,78,80,80,76,80,77,75,82,86,81,76,81,76,41,35,39,41,37,65,72,64,55,Mediocampista,3,Left,169,71,0,0,0,0.0,0.0
Álvaro Valles,81,40,42,9,6,59,8,8,14,67,16,8,55,52,15,12,38,35,78,14,45,15,10,9,10,19,63,40,65,22,Arquero,4,Right,192,82,80,79,79,81.0,83.0
Lamine Yamal,81,84,81,77,76,77,79,49,69,77,81,65,79,64,79,84,87,74,79,82,65,18,33,23,20,28,55,57,45,42,Delantero,3,Left,180,65,0,0,0,0.0,0.0
Javi Galán,80,81,77,66,50,72,56,51,48,60,79,70,79,78,72,81,75,76,76,80,68,74,74,77,80,81,81,77,64,82,Defensor,2,Left,172,70,0,0,0,0.0,0.0
Pepelu,80,68,68,70,66,74,75,65,83,80,74,78,85,80,80,78,69,68,77,80,75,77,59,76,78,74,72,89,75,74,Mediocampista,3,Right,186,73,0,0,0,0.0,0.0
Danilo Pereira,80,40,59,70,57,75,67,55,57,70,56,53,79,77,54,71,52,48,80,75,77,80,83,81,80,69,81,77,88,81,Defensor,3,Right,188,83,0,0,0,0.0,0.0
Zubeldia,80,75,80,63,62,75,60,47,51,72,65,65,81,77,73,71,74,74,80,73,73,83,74,81,79,76,85,80,81,86,Defensor,3,Right,181,73,0,0,0,0.0,0.0
Karim Adeyemi,79,96,96,77,73,76,72,71,70,71,70,62,74,67,67,82,86,82,77,79,76,31,70,25,34,35,90,80,67,59,Mediocampista,4,Left,180,77,0,0,0,0.0,0.0
Álex Baena,79,75,74,78,75,76,77,69,68,82,78,80,82,77,76,78,76,69,78,80,74,66,58,67,66,64,69,76,60,74,Mediocampista,4,Right,174,69,0,0,0,0.0,0.0
Valentin Castellanos,79,73,72,83,82,79,73,75,73,74,58,61,78,61,65,76,70,66,79,77,75,29,82,43,37,39,84,86,68,84,Delantero,3,Right,178,70,0,0,0,0.0,0.0
Dani Ceballos,79,69,58,78,67,76,75,62,55,80,74,67,82,79,77,83,77,78,77,84,81,78,41,74,71,69,58,76,60,75,Mediocampista,3,Right,179,70,0,0,0,0.0,0.0
Moi Gómez,79,71,61,78,77,73,76,65,59,80,79,72,81,83,82,78,74,73,78,81,75,72,54,65,60,41,64,78,56,52,Mediocampista,5,Right,176,73,0,0,0,0.0,0.0
Lee Kang In,79,75,74,78,75,78,69,75,70,80,79,77,80,79,82,82,85,87,76,82,81,53,65,45,51,42,71,73,59,72,Mediocampista,3,Left,173,66,0,0,0,0.0,0.0
Álex Moreno,79,80,78,78,67,63,64,65,70,74,78,57,77,68,69,78,83,79,79,77,60,76,63,77,78,75,74,76,60,75,Defensor,2,Left,179,68,0,0,0,0.0,0.0
Matt O'Riley,79,68,69,80,77,81,76,74,72,83,74,74,82,79,78,76,74,82,79,78,81,67,66,66,70,65,74,85,73,71,Mediocampista,4,Left,188,77,0,0,0,0.0,0.0
Yeremy Pino,79,77,76,79,79,68,69,67,54,76,77,60,78,74,73,81,79,79,74,80,60,29,46,31,48,41,52,70,32,48,Mediocampista,4,Right,172,60,0,0,0,0.0,0.0
Kaku,79,82,80,73,73,70,75,64,74,84,79,74,81,79,80,79,86,83,74,81,73,42,30,65,53,55,60,70,59,72,Mediocampista,3,Left,171,67,0,0,0,0.0,0.0
Mário Rui,79,81,79,64,42,69,73,57,60,69,82,74,79,76,76,78,87,87,76,80,71,78,60,74,76,75,71,83,55,80,Defensor,3,Left,170,67,0,0,0,0.0,0.0
Saud Abdulhamid,78,91,92,75,41,53,45,35,48,59,75,43,71,67,62,74,82,87,72,66,64,74,61,69,76,70,73,94,70,75,Defensor,3,Right,175,70,0,0,0,0.0,0.0
Tammy Abraham,78,75,81,79,77,80,68,80,79,76,53,55,74,53,55,77,61,53,80,78,80,25,81,40,29,20,92,66,85,68,Delantero,3,Right,195,86,0,0,0,0.0,0.0
Tosin Adarabioyo,78,66,77,30,32,50,30,30,37,60,43,33,77,80,45,58,42,44,76,77,77,77,76,78,81,77,85,68,82,78,Defensor,3,Right,196,80,0,0,0,0.0,0.0
Fran Beltrán,78,61,56,63,53,61,60,55,49,78,72,55,83,81,54,74,77,79,74,76,66,75,60,77,80,81,66,67,63,70,Mediocampista,3,Right,165,64,0,0,0,0.0,0.0
Daniel Podence,78,89,79,76,70,68,57,56,63,77,69,42,73,68,73,85,92,94,76,80,76,21,42,42,30,29,52,73,30,67,Mediocampista,4,Right,165,60,0,0,0,0.0,0.0
Ritsu Doan,78,84,73,73,65,62,66,59,58,76,76,68,75,68,75,83,89,93,74,82,74,44,49,39,36,42,67,77,59,41,Mediocampista,3,Left,172,74,0,0,0,0.0,0.0
Levi García,78,88,89,72,81,78,75,62,70,73,70,74,70,65,79,83,79,85,73,80,79,30,77,31,30,28,95,78,87,70,Delantero,3,Left,182,86,0,0,0,0.0,0.0
Fran García,78,90,89,68,42,63,53,39,39,63,75,36,76,62,69,76,84,91,72,77,69,74,54,66,79,76,75,80,65,65,Defensor,3,Left,169,63,0,0,0,0.0,0.0
Cucho Hernández,78,86,80,78,80,75,74,70,70,74,65,69,77,75,68,79,79,80,76,78,75,23,74,44,43,40,87,79,75,78,Delantero,4,Right,176,73,0,0,0,0.0,0.0
Hwang Hee Chan,78,88,81,81,79,78,73,79,72,76,68,52,73,67,63,78,87,76,80,76,81,37,68,39,36,25,84,77,74,68,Delantero,4,Right,177,77,0,0,0,0.0,0.0
Juanmi,78,80,76,80,80,77,74,71,64,67,74,60,77,63,65,80,79,77,79,81,71,23,78,25,28,25,80,74,56,57,Mediocampista,3,Right,172,69,0,0,0,0.0,0.0
Kodjo Fo-Doh Laba,78,77,77,82,81,78,68,78,80,64,63,45,69,58,65,68,76,65,78,71,74,19,82,21,15,21,94,87,85,70,Delantero,4,Right,181,78,0,0,0,0.0,0.0
Tino Livramento,78,82,83,70,47,60,46,41,41,65,77,51,75,61,79,80,76,78,75,78,78,76,56,73,79,74,75,78,70,74,Defensor,4,Right,181,71,0,0,0,0.0,0.0
Matheus Nunes,78,79,86,77,71,77,68,59,62,77,59,58,80,79,74,83,78,71,78,81,80,78,53,74,75,74,74,79,74,76,Mediocampista,3,Right,183,76,0,0,0,0.0,0.0
Noni Madueke,78,89,90,71,72,75,73,65,72,71,72,62,74,70,73,85,88,80,72,80,75,37,45,38,40,30,71,72,68,57,Mediocampista,3,Left,182,75,0,0,0,0.0,0.0
Solly March,78,76,74,78,71,74,73,56,55,77,80,67,78,70,77,81,74,75,75,79,79,69,48,70,68,65,65,79,61,58,Mediocampista,2,Left,180,77,0,0,0,0.0,0.0
Rodrigo Becão,78,54,54,35,30,44,32,24,31,41,49,27,69,65,49,50,51,48,75,61,72,79,80,80,80,76,82,67,84,83,Defensor,2,Right,191,79,0,0,0,0.0,0.0
Willian Pacho,78,78,79,36,30,41,29,26,36,47,46,38,73,69,31,52,63,60,79,68,81,78,71,79,82,76,88,69,84,77,Defensor,3,Left,186,81,0,0,0,0.0,0.0
Riqui Puig,78,74,67,72,68,66,69,56,55,81,60,51,84,80,69,81,82,85,78,84,80,61,49,51,60,53,51,79,33,66,Mediocampista,3,Right,169,56,0,0,0,0.0,0.0
Julian Quiñones,78,88,88,75,81,80,70,69,78,81,58,66,75,70,51,80,83,68,69,78,65,21,76,25,46,28,95,88,89,60,Delantero,3,Right,180,78,0,0,0,0.0,0.0
Matheus Reis,78,76,78,62,50,65,57,45,50,60,77,47,76,64,72,79,76,59,76,77,76,79,70,80,78,78,84,82,83,82,Defensor,2,Left,184,80,0,0,0,0.0,0.0
Malick Thiaw,78,72,73,42,43,56,46,44,64,65,55,44,81,78,58,70,67,61,78,77,78,79,78,75,78,77,88,68,82,80,Defensor,4,Right,194,89,0,0,0,0.0,0.0
Trincão,78,77,78,79,79,75,77,68,67,79,69,74,71,68,82,84,84,74,73,84,81,35,66,37,36,34,72,69,57,50,Delantero,2,Left,184,76,0,0,0,0.0,0.0
Matías Vecino,78,57,58,79,68,82,77,68,56,79,69,58,79,75,64,76,67,64,78,80,80,82,83,77,77,76,85,72,81,81,Mediocampista,3,Right,187,81,0,0,0,0.0,0.0
Luís Maximiano,77,55,55,6,5,54,15,8,13,59,10,9,45,40,9,16,58,33,78,21,56,9,8,21,15,13,68,23,70,12,Arquero,2,Right,190,82,77,75,72,72.0,79.0
Janis Blaswich,77,47,38,11,18,53,16,13,30,46,20,8,38,30,29,19,31,33,74,31,54,19,15,10,15,13,70,31,74,39,Arquero,3,Right,193,89,77,75,70,76.0,80.0
Jérémie Boga,77,90,80,71,67,80,73,60,58,69,72,69,74,69,78,84,88,82,68,81,75,41,59,28,44,34,77,67,64,56,Delantero,3,Right,172,68,0,0,0,0.0,0.0
Gianluca Caprari,77,78,77,76,72,75,74,75,75,75,74,75,77,73,83,80,85,82,75,80,71,35,58,33,33,34,61,67,43,39,Mediocampista,4,Right,176,72,0,0,0,0.0,0.0
Gaetano Castrovilli,77,71,67,78,69,65,67,58,56,76,75,45,82,78,64,82,83,80,78,83,77,68,50,64,70,70,66,70,63,63,Mediocampista,3,Right,187,71,0,0,0,0.0,0.0
Lewis Cook,77,65,55,63,60,67,65,57,60,77,70,65,78,78,70,77,76,83,76,78,73,80,50,72,76,72,62,75,62,77,Mediocampista,4,Right,175,71,0,0,0,0.0,0.0
Craig Dawson,77,34,34,56,49,57,30,29,66,53,65,24,69,69,45,48,39,48,77,63,69,79,81,79,78,78,75,67,78,79,Defensor,2,Right,188,85,0,0,0,0.0,0.0
Niclas Eliasson,77,90,87,62,69,66,65,62,58,76,83,71,73,71,79,76,91,78,76,75,73,35,32,42,48,35,64,76,62,60,Mediocampista,4,Left,178,70,0,0,0,0.0,0.0
Breel Embolo,77,73,82,80,77,84,71,76,66,72,63,58,75,70,68,76,67,66,75,75,74,44,73,40,63,38,87,68,85,79,Delantero,4,Right,187,88,0,0,0,0.0,0.0
Romain Faivre,77,76,67,73,72,74,76,66,80,78,77,79,76,69,81,81,81,73,75,80,79,66,61,58,64,58,73,74,63,59,Mediocampista,3,Left,180,69,0,0,0,0.0,0.0
Ignacio Fernández,77,66,63,78,71,76,77,72,72,80,75,75,77,73,82,79,75,70,77,80,83,64,65,64,73,66,70,70,66,71,Mediocampista,2,Left,182,67,0,0,0,0.0,0.0
Angel Gomes,77,77,76,72,71,70,70,65,66,78,66,68,79,76,70,77,87,90,77,80,73,73,62,71,75,74,74,78,63,71,Mediocampista,4,Right,168,56,0,0,0,0.0,0.0
Beto,77,75,82,78,77,82,69,74,71,60,40,51,68,58,62,75,54,40,79,71,73,18,77,17,20,21,92,78,92,72,Delantero,3,Right,194,88,0,0,0,0.0,0.0
Bryan Heynen,77,60,63,75,74,75,70,77,71,76,67,68,79,76,74,73,69,69,81,78,82,71,67,76,74,66,72,91,71,76,Mediocampista,4,Right,183,74,0,0,0,0.0,0.0
Mathias Jensen,77,66,68,70,64,63,68,50,69,81,79,68,79,81,72,73,77,77,76,76,81,75,50,73,69,62,65,80,70,77,Mediocampista,4,Right,180,68,0,0,0,0.0,0.0
João Pedro,77,78,76,78,78,78,71,73,85,67,63,47,74,62,67,83,80,64,76,77,77,20,76,20,27,23,82,73,64,40,Delantero,4,Right,182,70,0,0,0,0.0,0.0
Lekue,77,83,81,71,64,62,62,41,53,68,74,56,74,65,71,72,74,77,75,75,64,72,61,75,74,73,79,83,71,75,Defensor,3,Right,180,70,0,0,0,0.0,0.0
Sebastiano Luperto,77,65,63,48,42,62,48,45,46,53,58,40,68,59,48,57,66,73,77,66,72,76,78,83,78,77,81,66,74,77,Defensor,3,Left,191,75,0,0,0,0.0,0.0
Enzo Millot,77,76,75,75,69,73,67,54,63,77,68,59,79,75,72,81,87,84,76,82,72,65,44,64,65,53,55,80,46,57,Mediocampista,3,Left,174,66,0,0,0,0.0,0.0
Lorenzo Montipò,77,40,45,15,20,52,14,18,29,40,15,15,21,23,17,19,46,49,74,20,38,18,17,10,19,11,60,35,55,31,Arquero,3,Right,191,82,75,73,69,75.0,83.0
Yvon Mvogo,77,43,41,13,10,56,14,19,20,52,13,20,24,22,14,18,58,57,71,27,30,13,24,28,18,12,71,28,74,37,Arquero,3,Right,189,93,78,77,74,76.0,77.0
Mathías Olivera,77,69,72,64,49,56,48,38,42,62,76,41,72,66,67,72,65,36,78,76,68,78,68,76,75,74,73,76,69,80,Defensor,3,Left,184,78,0,0,0,0.0,0.0
Kalvin Phillips,77,65,52,66,62,75,68,55,58,72,70,71,76,77,62,71,71,73,75,76,74,75,63,75,78,77,73,67,75,82,Mediocampista,3,Right,178,72,0,0,0,0.0,0.0
Youssouf Sabaly,77,76,79,72,47,68,59,40,43,45,76,38,74,64,60,73,72,82,73,74,70,75,55,75,77,75,73,76,70,69,Defensor,3,Right,173,67,0,0,0,0.0,0.0
Florian Sotoca,77,69,76,80,77,76,69,73,69,79,76,64,78,70,68,72,70,51,81,77,77,49,79,47,46,44,86,87,80,73,Delantero,3,Right,187,77,0,0,0,0.0,0.0
Mattias Svanberg,77,76,85,71,65,74,77,53,57,78,68,63,80,76,66,78,74,67,78,79,72,72,32,64,67,62,65,76,75,65,Mediocampista,3,Right,185,75,0,0,0,0.0,0.0
Wout Weghorst,77,51,66,80,75,84,68,76,71,70,38,48,77,54,40,65,53,40,81,80,74,54,86,48,64,52,87,75,90,87,Delantero,3,Right,197,84,0,0,0,0.0,0.0
Nicola Zalewski,77,83,86,75,58,72,66,69,69,73,75,72,77,66,75,80,80,75,72,79,72,64,45,66,67,63,59,80,46,65,Mediocampista,4,Right,175,78,0,0,0,0.0,0.0
Rodrigo Aliendro,76,78,63,76,68,76,70,71,65,75,71,58,78,71,71,79,77,86,76,79,82,72,69,68,75,74,81,76,75,83,Mediocampista,3,Right,173,72,0,0,0,0.0,0.0
Eric Bailly,76,64,71,47,33,55,48,42,46,59,49,43,68,61,46,65,61,60,70,67,76,77,72,77,76,78,82,35,84,80,Defensor,3,Right,187,77,0,0,0,0.0,0.0
Jordan Beyer,76,67,76,48,29,46,30,31,42,55,61,35,74,69,44,69,68,64,74,72,74,75,74,75,77,76,81,68,77,75,Defensor,3,Right,187,80,0,0,0,0.0,0.0
Hicham Boudaoui,76,74,75,73,68,65,64,51,54,73,68,58,77,74,77,77,79,77,77,78,73,72,73,72,76,75,79,86,67,75,Mediocampista,3,Right,175,61,0,0,0,0.0,0.0
Geny Catamo,76,87,89,71,69,74,73,60,53,72,69,49,66,55,70,82,88,80,69,82,72,65,52,67,66,58,66,75,50,56,Mediocampista,3,Left,173,69,0,0,0,0.0,0.0
Maxim De Cuyper,76,77,76,75,68,78,73,66,78,78,81,73,80,77,75,77,78,76,72,77,72,69,63,66,71,69,74,85,62,70,Defensor,4,Left,183,72,0,0,0,0.0,0.0
Tiago Djaló,76,79,80,51,36,59,38,35,47,56,57,32,69,65,53,62,65,41,73,67,69,75,72,76,78,76,88,58,83,74,Defensor,3,Right,190,82,0,0,0,0.0,0.0
Nicolò Fagioli,76,74,77,62,52,76,72,68,68,80,69,68,83,80,79,79,76,77,76,81,72,70,58,69,74,72,70,77,62,70,Mediocampista,4,Right,178,72,0,0,0,0.0,0.0
Leonardo Fernández,76,78,78,69,75,88,86,55,79,75,70,85,80,74,76,74,82,83,70,76,68,38,40,46,45,50,63,68,64,57,Mediocampista,3,Left,166,66,0,0,0,0.0,0.0
Pablo Fornals,76,68,61,76,66,76,75,70,55,79,77,70,77,76,71,74,76,73,75,79,77,72,50,70,72,71,65,81,67,72,Mediocampista,3,Right,178,67,0,0,0,0.0,0.0
Adrià Pedrosa,76,91,89,70,61,63,58,58,45,68,72,40,72,65,74,81,83,77,73,74,73,70,59,69,71,70,77,89,63,78,Defensor,3,Left,176,69,0,0,0,0.0,0.0
Oscar Gloukh,76,88,78,67,71,71,70,55,66,76,65,67,75,64,73,84,87,85,61,82,78,28,52,42,32,28,59,71,36,45,Mediocampista,4,Right,170,68,0,0,0,0.0,0.0
Pierluigi Gollini,76,46,48,12,14,55,17,18,21,32,17,15,31,25,13,18,56,52,72,24,63,18,19,20,12,19,68,40,68,19,Arquero,2,Right,194,94,76,74,73,76.0,78.0
Jack Harrison,76,80,78,75,69,78,70,62,64,76,76,56,73,54,72,79,81,80,74,77,73,44,45,60,43,44,67,82,64,65,Mediocampista,3,Left,175,70,0,0,0,0.0,0.0
Guilherme Sityá,76,81,79,69,58,66,69,47,71,68,83,75,78,75,77,73,79,75,69,76,70,69,56,71,69,69,80,86,78,66,Defensor,3,Left,180,79,0,0,0,0.0,0.0
Mads Hermansen,76,49,51,12,9,59,13,9,15,46,13,14,62,60,12,24,47,42,67,40,41,16,11,15,10,13,64,44,61,20,Arquero,2,Right,185,81,76,74,78,75.0,79.0
Jesper Karlsson,76,79,76,72,71,77,79,76,77,72,71,75,71,66,82,80,84,83,73,80,75,35,44,32,36,34,63,72,46,54,Delantero,3,Right,178,68,0,0,0,0.0,0.0
Ansgar Knauff,76,88,93,73,72,70,65,63,49,71,72,43,75,52,69,77,79,77,72,75,67,54,48,58,48,44,67,83,55,63,Mediocampista,3,Right,180,73,0,0,0,0.0,0.0
Kenny Lala,76,75,79,72,59,73,54,44,75,68,74,71,74,72,75,73,66,70,71,74,72,73,68,74,75,69,78,78,71,72,Defensor,3,Right,178,78,0,0,0,0.0,0.0
Adrián Martínez,76,71,66,81,80,77,72,69,55,69,50,47,64,50,37,70,64,40,74,76,65,41,80,27,44,33,84,73,89,77,Delantero,3,Left,176,89,0,0,0,0.0,0.0
Quentin Merlin,76,75,71,73,49,69,68,64,55,74,77,71,75,71,74,77,71,81,76,75,66,70,61,73,77,74,69,74,57,69,Defensor,2,Left,174,68,0,0,0,0.0,0.0
Jacob Murphy,76,83,82,77,67,83,70,50,66,74,76,67,71,60,76,81,74,75,76,78,71,65,45,61,65,55,69,80,68,56,Delantero,4,Right,179,74,0,0,0,0.0,0.0
Fran Navarro,76,74,76,77,78,79,71,74,77,48,43,49,73,53,55,73,72,64,72,76,73,37,74,38,37,33,84,80,76,70,Delantero,3,Right,179,71,0,0,0,0.0,0.0
Moussa Niakhaté,76,55,79,49,37,49,38,39,74,58,63,36,70,65,41,65,50,51,74,64,73,75,75,75,78,76,73,63,83,76,Defensor,3,Left,190,85,0,0,0,0.0,0.0
Strahinja Pavlović,76,64,75,34,43,56,36,25,43,31,53,38,62,59,39,63,57,44,75,68,68,74,74,76,74,76,84,83,86,80,Defensor,3,Left,194,86,0,0,0,0.0,0.0
Cryzan,76,83,80,77,78,78,70,70,70,70,66,57,72,68,67,76,80,70,68,74,75,19,73,20,21,16,91,75,83,73,Delantero,4,Right,191,85,0,0,0,0.0,0.0
Luiz Júnior,76,29,31,8,9,52,5,6,14,52,13,14,24,26,13,10,31,25,71,18,40,14,13,6,10,12,63,22,72,24,Arquero,3,Right,194,88,76,75,69,76.0,77.0
Manuel Riemann,76,57,45,13,12,60,18,13,34,69,17,14,59,65,15,30,49,64,71,45,67,30,15,30,14,19,69,43,65,38,Arquero,5,Right,186,83,75,71,80,76.0,81.0
Lucas Robertone,76,83,76,74,72,78,75,60,67,75,71,75,78,76,80,75,85,75,75,77,68,75,69,61,77,75,85,84,61,83,Mediocampista,4,Right,169,66,0,0,0,0.0,0.0
Morato,76,66,69,29,32,55,28,39,44,49,56,27,65,62,52,61,41,43,72,65,75,75,76,76,77,74,80,68,89,80,Defensor,2,Left,192,89,0,0,0,0.0,0.0
Vitor Roque,76,88,83,80,82,80,74,75,72,62,62,70,54,52,74,83,85,80,70,77,74,15,62,18,15,11,83,66,75,28,Delantero,3,Right,172,78,0,0,0,0.0,0.0
Ismael Saibari,76,78,84,71,68,74,68,64,57,77,69,58,74,68,70,79,77,78,78,82,71,47,44,49,49,41,72,72,82,65,Mediocampista,4,Right,185,81,0,0,0,0.0,0.0
