Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Victor James Osimhen,186,77,Delantero,87,Right,4,62,91,84,71,83,83,63,52,54,84,87,92,78,89,68,86,94,81,86,77,68,34,90,70,75,80,36,45,22,14,14,10,9.0,6.0
Gianluigi Donnarumma,196,90,Arquero,87,Right,3,12,12,12,36,8,28,12,14,34,30,50,55,57,81,38,55,72,39,75,18,30,26,14,60,24,65,20,14,16,90,81,73,83.0,89.0
Frenkie de Jong,181,74,Mediocampista,87,Right,3,78,72,72,91,70,87,84,64,89,89,80,83,87,88,79,68,82,89,74,66,74,82,77,88,53,90,76,76,77,7,13,10,10.0,9.0
Martin Ødegaard,178,68,Mediocampista,87,Left,2,85,82,55,90,79,86,83,85,87,89,74,71,85,84,82,82,66,81,56,83,64,66,83,89,63,86,67,55,54,14,15,15,8.0,10.0
Mike Maignan,191,89,Arquero,87,Right,4,18,15,17,65,16,31,38,16,61,40,50,53,41,85,56,65,75,39,78,20,35,25,15,65,15,68,23,16,19,85,82,87,85.0,89.0
Bruno Miguel Borges Fernandes,179,69,Mediocampista,87,Right,3,82,82,63,88,87,78,85,82,89,86,74,68,78,90,76,86,71,95,60,83,84,63,86,94,90,79,62,71,63,12,14,15,8.0,14.0
Marcos Aoás Corrêa,183,75,Defensor,87,Right,3,68,59,88,84,35,69,58,32,85,79,76,82,68,86,67,65,89,83,78,45,81,89,70,76,52,86,90,89,88,6,6,12,10.0,13.0
Luka Modrić,172,66,Mediocampista,87,Right,4,86,72,55,91,76,84,85,78,92,90,75,70,92,85,92,79,67,83,58,82,62,80,76,91,83,92,70,73,72,13,9,7,14.0,9.0
Manuel Peter Neuer,193,93,Arquero,87,Right,4,15,13,25,60,11,30,14,11,68,46,48,50,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,84,85,90,88.0,84.0
Jamal Musiala,184,72,Mediocampista,86,Right,4,67,79,49,82,70,94,69,51,77,89,84,86,93,85,92,73,65,78,53,75,59,65,81,82,55,84,64,63,68,6,9,8,8.0,11.0
Ronald Federico Araújo da Silva,188,79,Defensor,86,Right,3,58,56,85,76,38,55,47,45,66,68,76,86,56,84,55,68,92,72,87,35,87,85,56,59,43,76,86,86,86,11,14,9,11.0,8.0
Khvicha Kvaratskhelia,183,70,Delantero,86,Right,5,78,81,62,83,64,90,82,65,76,88,85,86,86,84,76,78,78,79,70,83,62,40,82,86,65,79,38,39,34,9,15,8,14.0,8.0
Éder Gabriel Militão,186,78,Defensor,86,Right,3,69,48,87,78,34,70,60,40,76,72,82,88,70,85,62,62,92,85,79,42,84,86,64,59,60,74,86,87,85,11,8,15,12.0,15.0
Declan Rice,185,80,Mediocampista,86,Right,3,55,61,72,84,50,80,68,65,84,79,68,74,55,84,65,78,79,91,79,65,85,86,58,78,71,83,85,85,83,8,11,14,5.0,9.0
Ousmane Dembélé,178,67,Delantero,86,Left,5,86,75,43,80,76,89,82,64,76,87,94,93,90,80,81,83,65,68,52,76,54,36,80,83,75,81,42,30,33,6,6,14,10.0,13.0
Trent Alexander-Arnold,180,72,Defensor,86,Right,4,93,64,69,89,68,79,88,85,92,84,73,79,73,84,72,85,75,89,68,76,69,84,79,90,55,82,78,82,78,14,15,14,6.0,7.0
Nicolò Barella,172,68,Mediocampista,86,Right,3,79,78,53,88,80,81,79,67,85,87,83,78,90,89,90,80,75,94,73,79,84,83,83,83,73,86,80,83,81,11,5,13,14.0,11.0
Sergej Milinković-Savić,192,95,Mediocampista,86,Right,5,71,82,86,86,74,85,81,78,86,87,62,66,62,84,63,83,87,91,87,81,79,79,82,83,59,84,77,77,79,7,10,7,16.0,7.0
Leroy Aziz Sané,183,80,Mediocampista,86,Left,2,82,83,72,83,84,89,84,83,72,86,88,93,87,85,82,86,82,73,67,80,65,34,83,81,65,83,36,32,35,8,12,9,9.0,14.0
Andrew Robertson,178,64,Defensor,86,Left,2,87,55,67,83,32,78,82,71,76,83,82,78,75,85,74,76,77,93,67,65,85,81,80,82,55,83,83,83,81,11,8,10,7.0,14.0
Hakan Çalhanoğlu,178,69,Mediocampista,86,Right,4,78,75,53,88,74,85,88,85,88,88,72,65,83,86,80,86,66,80,60,87,76,76,74,89,90,85,74,74,65,9,14,11,6.0,10.0
Damián Emiliano Martínez,195,88,Arquero,86,Right,4,22,16,26,57,13,17,22,20,59,38,59,57,49,82,49,62,77,40,70,16,37,13,12,66,42,62,11,20,20,84,82,83,85.0,85.0
Carlos Henrique Casimiro,185,84,Mediocampista,86,Right,3,68,69,85,82,68,69,77,74,84,77,56,59,60,85,63,88,85,82,88,81,92,87,77,78,66,81,86,87,87,13,14,16,12.0,12.0
İlkay Gündoğan,180,80,Mediocampista,86,Right,4,77,82,50,88,75,86,86,80,84,91,65,60,77,86,77,79,67,75,73,80,70,75,84,86,80,87,77,75,67,11,14,5,5.0,13.0
Wojciech Tomasz Szczęsny,196,90,Arquero,86,Right,3,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,70,45,65,14,40,15,14,48,18,65,20,13,12,86,83,73,86.0,87.0
Toni Kroos,183,76,Mediocampista,86,Right,5,88,76,58,92,82,80,86,84,92,88,55,48,63,88,71,89,61,75,72,85,68,80,74,89,73,88,71,70,60,10,11,13,7.0,10.0
Cristiano Ronaldo dos Santos Aveiro,187,85,Delantero,86,Right,4,78,87,87,79,83,77,79,76,70,86,73,80,76,87,61,92,93,80,76,85,62,29,90,78,90,92,24,32,24,7,11,15,14.0,11.0
Rodrygo Silva de Goes,174,64,Delantero,85,Right,4,79,86,67,80,67,87,80,73,73,86,89,88,87,84,84,76,77,81,59,77,54,21,82,83,82,84,24,34,30,9,8,12,8.0,5.0
Jules Koundé,180,75,Defensor,85,Right,3,62,47,80,82,32,72,42,26,75,77,85,83,71,86,74,48,90,78,80,40,78,86,47,62,43,82,87,86,84,11,10,8,14.0,13.0
Alessandro Bastoni,190,75,Defensor,85,Left,3,70,26,82,80,35,73,55,36,84,77,68,77,60,86,57,50,86,81,83,40,83,87,39,69,47,84,87,86,83,11,5,9,11.0,12.0
Diogo José Teixeira da Silva,178,70,Delantero,85,Right,5,73,85,86,77,79,83,77,58,72,85,85,80,86,88,87,86,91,80,75,76,85,56,88,78,69,83,53,57,45,7,12,15,9.0,11.0
James Maddison,175,73,Mediocampista,85,Right,4,83,80,35,86,77,86,86,86,85,88,78,66,84,80,83,83,58,78,53,83,70,44,85,88,74,88,59,65,42,11,14,14,12.0,14.0
Giovanni Di Lorenzo,183,82,Defensor,85,Right,3,80,66,76,80,60,78,69,69,74,79,85,85,78,84,78,72,88,90,78,69,78,83,71,66,59,77,82,83,81,8,10,8,10.0,7.0
N'Golo Kanté,168,70,Mediocampista,85,Right,3,68,64,54,80,56,78,49,49,74,81,74,64,78,87,92,71,70,82,70,65,87,88,72,77,54,82,88,90,85,15,12,10,7.0,10.0
Kingsley Junior Coman,181,75,Mediocampista,85,Right,3,81,75,61,80,78,88,83,70,74,87,92,86,92,85,84,83,79,68,66,73,38,23,83,82,65,78,29,27,21,5,3,5,3.0,5.0
Thomas Teye Partey,185,77,Mediocampista,85,Right,3,74,66,68,86,56,84,69,70,86,84,60,74,63,82,50,86,77,79,84,78,84,82,70,85,49,87,82,85,79,11,13,9,9.0,7.0
Yassine Bounou,195,78,Arquero,85,Left,2,15,14,14,39,13,20,12,19,44,12,38,37,47,81,29,59,66,43,69,19,25,12,10,62,24,57,20,18,15,82,83,79,84.0,87.0
Leon Christoph Goretzka,189,82,Mediocampista,85,Right,4,75,81,86,85,71,84,76,73,83,84,75,80,75,85,73,85,92,83,89,86,82,85,84,82,60,82,74,83,76,13,8,15,11.0,9.0
Antonio Rüdiger,190,86,Defensor,85,Right,3,68,40,81,80,34,64,50,56,82,70,71,91,56,83,50,84,90,70,91,67,91,82,49,61,40,78,85,85,84,14,15,10,12.0,8.0
David Olatukunbo Alaba,180,78,Defensor,85,Left,4,83,62,77,88,67,77,76,85,80,83,79,79,76,88,78,82,86,73,78,78,77,87,73,78,79,84,89,84,83,5,7,14,15.0,9.0
Ciro Immobile,185,85,Delantero,85,Right,4,55,90,80,78,84,77,70,58,57,79,84,86,75,84,84,86,87,73,74,80,73,40,88,71,88,76,34,33,32,6,8,15,12.0,6.0
Kieran Trippier,173,71,Defensor,85,Right,4,92,54,79,84,58,76,87,87,86,85,72,64,66,85,79,82,79,85,64,71,75,83,77,85,66,83,80,84,81,11,14,8,11.0,10.0
Yann Sommer,183,77,Arquero,85,Right,4,13,13,10,40,8,15,12,13,36,25,48,54,55,82,58,62,68,45,68,12,38,21,15,64,24,54,9,19,12,80,81,83,83.0,90.0
Bruno Guimarães Rodriguez Moura,182,74,Mediocampista,84,Right,2,70,72,64,87,66,85,79,62,85,85,69,72,78,86,84,79,76,87,79,77,86,82,78,86,65,87,81,84,79,7,11,15,11.0,11.0
Dušan Vlahović,190,75,Delantero,84,Left,3,57,88,82,72,79,81,75,83,60,85,76,82,63,86,53,85,92,79,88,82,73,24,87,70,80,81,19,26,24,5,15,6,11.0,10.0
William Alain André Gabriel Saliba,193,85,Defensor,84,Right,3,58,35,74,84,34,73,55,35,77,81,77,86,50,84,59,60,88,72,87,23,83,82,43,62,47,83,85,87,84,7,10,6,8.0,11.0
Guglielmo Vicario,194,76,Arquero,84,Right,4,11,6,11,58,7,22,14,10,55,44,54,49,56,82,38,59,67,38,60,5,35,15,13,69,13,63,23,11,13,84,80,79,84.0,87.0
Gleison Bremer Silva Nascimento,188,82,Defensor,84,Right,2,46,49,85,69,38,62,42,24,69,65,78,86,65,79,67,68,92,76,85,39,82,84,58,45,43,78,84,87,83,13,15,13,5.0,6.0
Lisandro Martínez,178,77,Defensor,84,Left,3,75,52,75,83,56,76,77,55,83,81,77,70,77,84,82,73,85,75,80,64,91,85,62,76,55,87,85,87,84,6,14,13,14.0,8.0
김민재 金敏在 Min-Jae Kim,190,86,Defensor,84,Right,3,35,23,81,75,24,57,36,23,64,68,75,84,65,82,65,51,84,77,87,37,84,85,48,57,30,74,86,87,85,13,7,11,14.0,11.0
Matthijs de Ligt,189,89,Defensor,84,Right,3,52,50,85,79,45,65,48,55,78,73,58,64,52,84,62,84,87,75,91,75,85,82,44,45,40,82,85,85,86,12,11,11,12.0,10.0
Achraf Hakimi Mouh,181,73,Defensor,84,Right,4,84,75,68,82,74,79,77,77,73,82,88,93,81,82,78,82,82,92,72,75,76,78,78,78,64,83,75,76,76,10,8,14,6.0,8.0
Aaron Ramsdale,191,77,Arquero,84,Right,3,15,14,15,56,16,18,17,16,57,36,47,50,53,83,49,65,65,35,59,15,35,24,18,65,25,65,20,16,15,84,79,87,81.0,86.0
Raphael Dias Belloli,176,68,Delantero,84,Left,4,80,78,74,78,72,87,81,79,74,85,90,91,88,84,79,83,83,86,65,79,76,55,83,80,78,80,47,54,38,8,7,13,8.0,14.0
Fikayo Tomori,185,79,Defensor,84,Right,4,53,33,83,73,32,61,38,40,63,66,80,90,74,84,71,56,92,74,84,45,83,85,37,48,27,81,86,90,82,10,13,10,11.0,7.0
Gabriel dos Santos Magalhães,190,87,Defensor,84,Left,2,38,37,87,79,28,52,47,27,75,71,61,77,51,85,37,62,87,71,86,30,87,86,44,59,40,74,85,84,85,12,8,13,10.0,7.0
Unai Simón Mendibil,190,89,Arquero,84,Right,3,16,14,18,38,17,12,20,14,34,16,48,50,37,77,47,58,74,44,76,13,29,26,14,48,24,46,11,18,12,84,81,77,86.0,85.0
João Maria Lobo Alves Palhinha Gonçalves,190,85,Mediocampista,84,Right,4,60,66,79,79,55,77,66,45,80,81,59,67,64,80,55,81,84,88,90,67,95,83,69,72,57,84,84,88,87,14,10,8,7.0,7.0
Alejandro Remiro Gargallo,192,79,Arquero,84,Right,4,12,13,13,36,15,19,14,17,29,26,40,46,70,79,40,60,68,42,73,11,34,20,11,35,24,55,14,17,18,84,79,80,86.0,86.0
Ismaël Bennacer,175,70,Mediocampista,84,Left,3,74,67,62,85,64,86,79,73,83,85,84,76,87,83,89,85,79,84,71,74,86,83,75,81,68,84,78,83,80,9,12,10,16.0,15.0
Mikel Merino Zazón,189,83,Mediocampista,84,Left,3,77,79,87,86,58,83,80,69,84,85,72,72,74,86,73,85,89,83,80,79,83,85,83,83,70,80,80,84,76,9,12,9,13.0,14.0
Rúben Diogo da Silva Neves,183,83,Mediocampista,84,Right,4,83,66,53,88,82,74,85,81,88,83,59,55,64,82,72,86,63,80,67,83,82,81,62,87,77,88,79,79,79,16,12,10,8.0,10.0
Lucas François Bernard Hernández Pi,184,79,Defensor,84,Left,2,78,53,82,78,46,65,59,39,66,77,74,78,69,85,69,62,87,69,78,51,90,83,66,71,42,80,85,85,84,10,7,8,14.0,10.0
Rodrigo Javier De Paul,180,70,Mediocampista,84,Right,3,78,76,58,85,71,82,84,76,85,85,80,76,78,81,78,80,79,92,79,78,82,80,78,86,66,81,75,81,75,13,12,10,7.0,14.0
Julian Brandt,185,83,Mediocampista,84,Right,4,82,80,54,87,79,86,80,76,82,87,69,73,84,86,84,83,69,87,71,81,45,58,82,86,55,84,49,45,56,11,16,11,8.0,9.0
Adrien Rabiot,191,80,Mediocampista,84,Left,3,73,72,79,85,72,80,71,59,84,85,79,83,69,84,69,86,89,89,83,78,81,82,82,83,69,82,80,84,80,9,12,9,7.0,15.0
Nick Pope,199,76,Arquero,84,Right,3,11,14,11,42,14,15,13,12,52,25,50,47,36,80,42,56,71,37,75,15,36,23,13,50,22,63,19,15,14,82,82,75,84.0,86.0
Álvaro Borja Morata Martín,190,84,Delantero,84,Right,4,72,86,87,77,82,80,78,52,63,83,81,83,74,84,63,83,93,79,81,76,69,26,87,77,75,79,37,14,20,4,5,4,4.0,5.0
Kalidou Koulibaly,186,93,Defensor,84,Right,4,50,43,82,71,48,70,53,39,69,72,66,85,45,84,33,67,82,74,91,38,84,83,50,65,50,82,86,85,83,7,11,7,13.0,5.0
Granit Xhaka,185,82,Mediocampista,84,Left,3,74,67,65,87,50,73,76,77,85,83,48,50,51,82,61,90,69,85,78,79,91,76,76,82,65,78,78,79,75,7,8,11,7.0,13.0
Luis Alberto Romero Alconchel,183,74,Mediocampista,84,Right,3,69,75,49,90,76,83,86,79,88,90,72,67,77,79,83,82,65,68,64,80,29,64,76,91,56,80,63,66,59,6,8,6,12.0,11.0
Jorge Resurrección Merodio,176,75,Mediocampista,84,Right,4,85,69,61,86,57,77,84,77,83,83,70,68,70,85,81,82,74,85,75,75,79,82,76,85,67,84,80,83,71,14,12,5,10.0,13.0
Iago Aspas Juncal,176,67,Delantero,84,Left,4,80,90,77,79,82,87,79,83,73,87,78,83,85,86,72,82,80,69,61,81,65,39,88,81,82,85,39,21,18,12,16,9,12.0,13.0
Romelu Lukaku Menama,191,94,Delantero,84,Left,4,73,86,83,77,79,80,78,66,69,79,72,86,59,82,52,87,93,64,95,75,71,27,86,75,89,82,30,41,30,8,15,14,7.0,10.0
Chris Smalling,194,81,Defensor,84,Right,3,52,54,86,65,49,59,49,22,64,65,52,71,54,87,43,42,83,75,85,35,84,84,51,56,52,88,88,89,85,10,15,16,15.0,15.0
Daniel Parejo Muñoz,182,74,Mediocampista,84,Right,4,86,78,63,89,72,77,88,90,87,85,53,52,60,75,74,80,67,71,70,85,65,79,77,90,86,85,76,74,73,5,9,12,14.0,8.0
Kyle Walker,183,83,Defensor,84,Right,2,77,51,72,81,57,79,76,71,81,81,85,94,66,85,69,86,87,81,80,69,84,78,68,69,63,75,75,85,83,12,6,16,15.0,8.0
Mats Hummels,191,94,Defensor,84,Right,3,65,55,86,81,64,67,66,53,85,74,38,65,60,86,62,71,73,65,87,49,73,87,57,80,68,89,89,85,84,15,6,10,5.0,6.0
Luis Alberto Suárez Díaz,182,86,Delantero,84,Right,4,75,87,83,78,88,77,85,81,73,81,65,65,67,86,71,86,79,53,81,84,87,39,90,80,82,86,41,45,38,27,25,31,33.0,37.0
Thiago Emiliano da Silva,183,79,Defensor,84,Right,3,60,40,81,83,61,64,62,61,83,80,42,55,60,86,62,71,76,63,78,65,74,84,57,71,60,87,88,87,84,9,12,5,9.0,10.0
Darwin Gabriel Núñez Ribeiro,187,81,Delantero,83,Right,3,69,81,80,74,78,79,75,61,68,79,88,92,78,84,66,86,94,88,85,77,84,44,87,78,78,78,39,47,36,14,10,12,10.0,13.0
Sven Botman,193,81,Defensor,83,Left,3,43,24,81,79,27,63,47,28,76,74,53,75,57,83,34,65,84,70,90,37,86,82,45,59,37,77,85,84,84,12,9,8,6.0,14.0
Nico Schlotterbeck,191,86,Defensor,83,Left,2,49,51,84,75,51,74,49,41,81,70,79,77,68,80,64,75,92,73,83,66,82,83,58,69,38,77,83,86,82,8,10,8,14.0,13.0
Viktor Tsygankov,178,72,Mediocampista,83,Left,4,83,82,45,82,72,83,81,76,77,83,85,85,83,80,72,78,64,77,53,77,63,39,82,82,81,80,60,39,37,9,7,15,6.0,12.0
Ikoma Loïs Openda,177,75,Delantero,83,Right,4,69,85,79,75,73,81,64,50,59,81,94,93,82,83,85,82,93,79,79,75,74,26,85,69,75,81,29,23,19,9,8,10,8.0,13.0
Moussa Diaby,171,67,Delantero,83,Left,3,76,80,28,79,67,87,72,42,72,85,95,95,92,77,93,74,56,82,44,64,62,48,79,77,48,77,48,35,46,8,9,8,8.0,14.0
Pau Francisco Torres,191,80,Defensor,83,Left,3,55,28,85,83,41,64,45,28,81,80,69,75,67,80,52,58,87,80,81,40,79,83,46,77,42,84,84,84,82,11,13,13,13.0,9.0
Ferran Torres García,184,77,Delantero,83,Right,4,78,84,75,79,74,85,76,60,77,84,87,81,84,84,78,79,84,72,69,77,54,34,85,81,74,82,35,24,28,12,9,11,15.0,12.0
Alexis Mac Allister,176,72,Mediocampista,83,Right,3,79,79,61,86,74,84,83,82,82,84,73,67,82,82,82,78,73,86,69,82,75,75,79,84,81,83,77,79,72,7,10,14,15.0,10.0
Reece James,178,87,Defensor,83,Right,3,88,69,77,83,67,83,83,76,78,82,76,81,72,83,88,83,89,68,84,69,77,79,78,82,62,84,82,85,80,8,12,7,13.0,11.0
Randal Kolo Muani,187,73,Delantero,83,Right,4,64,83,79,79,80,85,70,62,62,83,90,91,84,83,77,82,90,74,74,72,36,38,85,77,70,83,32,33,32,7,14,15,8.0,5.0
Diogo Meireles Costa,192,84,Arquero,83,Right,2,13,6,11,50,8,18,10,10,55,30,33,39,42,83,35,60,61,28,63,9,23,18,18,64,14,44,19,13,11,82,77,80,82.0,86.0
Cristian Gabriel Romero,185,79,Defensor,83,Right,2,42,48,82,74,52,60,54,38,64,68,72,69,67,85,65,51,89,71,83,36,89,83,43,50,40,82,85,85,84,5,7,11,10.0,14.0
Milan Škriniar,188,80,Defensor,83,Right,2,43,46,78,72,40,64,47,30,71,70,53,64,52,84,56,50,81,71,87,39,79,84,41,56,56,78,87,88,81,10,13,12,8.0,12.0
Gabriel Fernando de Jesus,175,73,Delantero,83,Right,3,74,80,78,81,79,88,76,54,66,87,86,81,92,88,90,84,88,82,72,78,82,32,86,79,75,78,45,30,28,13,8,6,6.0,15.0
Ronaldo Jailson Cabrais Petri,177,75,Mediocampista,83,Right,4,83,74,64,83,76,85,86,78,82,83,90,87,86,84,71,82,80,88,68,78,62,40,82,83,77,81,24,35,33,12,12,13,15.0,13.0
Gianluca Mancini,190,77,Defensor,83,Right,3,34,48,83,67,40,59,38,34,71,76,65,75,34,83,57,51,86,81,83,34,94,84,32,56,47,80,84,84,79,13,12,8,6.0,8.0
Dayotchanculle Oswald Upamecano,186,90,Defensor,83,Right,3,48,39,81,78,33,72,36,28,76,75,76,88,66,81,64,64,92,65,88,42,89,79,47,58,39,74,81,84,82,6,7,8,15.0,9.0
Aleix García Serrano,173,68,Mediocampista,83,Right,3,83,77,51,86,66,84,84,80,88,84,68,66,76,82,85,78,65,78,65,80,65,77,81,85,60,84,76,81,76,16,8,9,10.0,7.0
Benjamin Pavard,186,81,Defensor,83,Right,3,75,49,84,79,81,68,66,51,78,77,70,74,66,84,68,80,87,81,80,70,74,86,60,66,51,78,85,86,83,9,7,15,7.0,15.0
André Onana,190,93,Arquero,83,Right,3,15,12,20,57,13,26,30,17,58,38,62,60,66,83,53,65,79,40,78,17,38,15,11,65,27,65,12,18,14,82,75,87,79.0,85.0
Guido Rodríguez,185,80,Mediocampista,83,Right,4,59,43,74,82,47,72,55,62,75,76,55,47,47,78,45,80,77,76,80,69,84,86,68,73,53,71,86,88,85,12,11,14,16.0,6.0
Marco Asensio Willemsen,182,76,Delantero,83,Left,3,81,77,57,81,79,83,84,76,82,87,83,80,80,78,76,88,73,75,63,87,45,45,80,80,62,82,40,42,39,13,9,6,12.0,10.0
José María Giménez de Vargas,185,79,Defensor,83,Right,3,47,37,82,71,34,55,37,44,68,66,70,71,56,78,57,73,88,71,85,48,87,84,25,46,40,75,87,85,85,9,11,7,10.0,15.0
Stanislav Lobotka,170,68,Mediocampista,83,Right,4,75,68,45,85,43,81,75,55,85,85,76,69,77,84,86,69,67,85,68,77,76,82,78,85,56,77,78,82,76,10,7,16,13.0,14.0
Marcelo Brozović,181,72,Mediocampista,83,Right,4,73,69,70,84,65,78,79,74,83,83,68,65,79,77,84,80,73,93,68,84,86,83,65,82,69,82,78,84,82,8,8,15,11.0,8.0
Jonathan Tah,195,94,Defensor,83,Right,4,39,32,84,77,33,60,37,27,68,66,55,78,49,81,40,60,87,75,92,26,82,82,33,56,38,77,81,85,80,11,8,7,9.0,14.0
Aymeric Laporte,191,85,Defensor,83,Left,3,58,45,82,83,40,64,61,69,81,78,51,61,57,85,54,68,81,67,82,47,74,85,54,68,44,84,84,86,85,10,11,5,14.0,5.0
Niklas Süle,195,99,Defensor,83,Right,3,48,36,78,80,59,60,43,38,82,70,60,82,34,81,44,78,79,59,94,62,82,80,42,66,32,84,87,87,83,15,7,14,7.0,15.0
Alessio Romagnoli,185,75,Defensor,83,Left,3,36,30,81,75,28,68,35,24,69,75,69,69,55,82,54,63,87,68,84,46,82,85,31,45,34,77,86,86,86,9,14,12,8.0,9.0
Jonas Hofmann,176,72,Mediocampista,83,Right,4,80,84,48,84,69,82,77,75,82,81,75,76,79,83,78,74,66,89,66,76,70,75,83,86,71,82,70,57,57,6,6,10,10.0,10.0
Fábio Henrique Tavares,188,78,Mediocampista,83,Right,2,75,63,75,84,47,78,71,53,82,81,53,64,61,80,62,81,76,85,78,70,84,82,70,76,90,85,81,84,82,13,12,6,8.0,8.0
Matthias Ginter,189,87,Defensor,83,Right,3,68,55,83,79,53,61,44,42,74,75,54,65,55,85,49,79,83,75,84,46,74,85,55,72,67,77,87,86,78,12,10,6,8.0,10.0
